what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1620052088349
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1620052088356
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1620052088356
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1620052088376
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1620052088386
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1620052088392
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1620052088399
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1620052088410
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1620052088418
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1620052088421
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1620052088444
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1620052088446
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1620052088456
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1620052088456
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1620052088462
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1620052088462
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1620052088463
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1620052088463
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1620052088463
os,sysinfo,,,"win32",1620052088465
arch,sysinfo,,,"x86",1620052088465
ws,sysinfo,,,"win32",1620052088465
locale,sysinfo,,,"zh_CN",1620052088465
processors,sysinfo,,,"4",1620052088465
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1620052088465
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1620052088465
java.specification.name,sysinfo,,,"Java Platform API Specification",1620052088465
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1620052088465
java.specification.version,sysinfo,,,"1.6",1620052088465
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1620052088465
java.version,sysinfo,,,"1.6.0_23",1620052088465
java.vm.info,sysinfo,,,"mixed mode",1620052088465
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1620052088465
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1620052088465
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1620052088465
java.vm.specification.version,sysinfo,,,"1.0",1620052088465
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1620052088465
java.vm.version,sysinfo,,,"19.0-b09",1620052088465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620052088469
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1620052088757
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1620052088858
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1620052088912
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1620052089570
