what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618753111372
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618753111469
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1618753121256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753123240
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618753125210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753125252
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1618753125282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1618753125282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753135276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753137914
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1618753137924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1618753137924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753137944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753141531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753144107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753146275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753155460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753157614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753161672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753161732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753170452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753175860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753179298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753182362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753186097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753190309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1618753194239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753196185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753198930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753201294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753202087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753202114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753204347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753206801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753210284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753210306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753213911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1618753238730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1618753245681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753251060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753251128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753251937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753254114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753257521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753261024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753261046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618753264544
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618753275746
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618753275878
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618753279938
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618753280071
