what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1620394925600
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1620394925632
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1620394925632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620394926928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620394930412
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1620394936410
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1620394940784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620394941097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620394965747
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1620394965778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620394972714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620394979150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620394986914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620394989851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620394996568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620394996709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620394998083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620394999848
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1620394999864
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620395003426
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1620395003660
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1620395003660
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1620395003660
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1620395003676
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1620395003676
