what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1620402444628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1620402445128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1620402445160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1620402445191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1620402445222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1620402445253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1620402445284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1620402445316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620402447128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620402472028
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620402479605
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620402483994
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620402483994
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1620402483994
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620402489836
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620402491258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402493133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402497054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402500334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402503208
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1620402503568
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620402506786
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1620402507082
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620402513583
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620402551590
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620402554777
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620402557089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402558619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402562634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402566430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402569117
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1620402569461
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620402572710
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1620402573007
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620402579574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402641825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402737962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402783268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402806472
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620402807878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402812111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402814439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402817516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402817703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402818375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402819219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402821515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402836980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402952089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402957962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402962586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402965679
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1620402966086
error,log,,,"Unable to validate connection settings.",1620402974974
error,log,,,"Unable to validate connection settings.",1620402974974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402975005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402984597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402988731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402992394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402996565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402999502
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1620403008453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620403008703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620403008859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620403042961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620403043179
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1620403043195
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620403046741
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1620403047038
